;id;accumulated_score;achievements;n_achievements
32;23546030;42;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];9
33;35477448;42;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];9
34;22119352;42;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];9
35;23546071;42;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];9
36;23546130;42;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];9
37;23546174;42;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];9
38;23546246;42;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'TOP_10_TEMPLATES', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];9
39;48289927;42;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];9
40;23546522;42;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_80', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];9
41;43139367;41;['SAME_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];9
42;43604089;40;['ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
43;44924673;40;['ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
44;48588664;40;['ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
45;23546040;40;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
46;23546084;40;['ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
47;23546098;40;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
48;34142692;40;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
49;23546247;40;['LESS_RISK', 'ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
50;23546261;40;['ONE_MONTHLY_ENROLLMENT', 'ALL_MONTHLY_ENROLLMENTS', 'AVG_SCORE_100', 'WELCOME_TRAINING', 'NO_PHISHING_MONTH', 'MONTHLY_PHISH_REPORTS', 'NO_PHISHING_YEAR', 'ALL_YEARLY_ENROLLMENTS'];8
